# 2025-04-25 03:55:41
# b31424b7fbb00b981aa6a1f5d45f886e
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
2.879999999999999893e+00;2.834304399189519152e+00;2.928686079873883408e-01;1.030895244355338747e-01;1.366438923137613948e-02;4.999999090118010692e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.969999999999999751e+00;2.923818795511258450e+00;3.022051823538284832e-01;1.043042806225922270e-01;1.332786823732490245e-02;4.999998422367184503e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.060000000000000053e+00;3.013322033877340544e+00;3.116481347771366539e-01;1.054885407182521995e-01;1.298380829095102662e-02;4.999997313362777085e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.149999999999999911e+00;3.102813998834313303e+00;3.211973352396568226e-01;1.066413661149629988e-01;1.263969925483476864e-02;4.999995471457760132e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.239999999999999769e+00;3.192295247457475504e+00;3.308464326957363810e-01;1.077636865841227198e-01;1.230005802863853859e-02;4.999992506986870922e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.330000000000000071e+00;3.281765956266761819e+00;3.405927884447781384e-01;1.088553765601183443e-01;1.195169219468006361e-02;4.999987818493554670e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.419999999999999929e+00;3.371225875725141652e+00;3.504376878114891514e-01;1.099149911791648115e-01;1.160221500155522723e-02;4.999980345308484786e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.509999999999999787e+00;3.460675667178424675e+00;3.603741819608706209e-01;1.109437752603978922e-01;1.125920059593532585e-02;4.999968802164203474e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.599999999999999645e+00;3.550115539710983814e+00;3.703995734908723247e-01;1.119416472864331880e-01;1.090894246079243679e-02;4.999951250872351594e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.689999999999999947e+00;3.639545361053012851e+00;3.805142366933096931e-01;1.129073849033406240e-01;1.055660383778589395e-02;4.999924470473742666e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.779999999999999805e+00;3.728965656477714496e+00;3.907127678068174625e-01;1.138418359772348509e-01;1.020999621195195495e-02;4.999884526826918751e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.869999999999999662e+00;3.818376733538588752e+00;4.009918084022476292e-01;1.147451842214919360e-01;9.858856622441458661e-03;4.999825933500678055e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.959999999999999964e+00;3.907778566623821170e+00;4.113509451279327434e-01;1.156164301692741425e-01;9.504831382909251225e-03;4.999739975657047530e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.049999999999999822e+00;3.997171569706470251e+00;4.217860024078396441e-01;1.164560538704155768e-01;9.155855573397042590e-03;4.999615887682146820e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.139999999999999680e+00;4.086556128379172037e+00;4.322931503063466296e-01;1.172644841724856946e-01;8.804701637265321956e-03;4.999439831749802998e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.229999999999999538e+00;4.175932300623696136e+00;4.428714022754768886e-01;1.180409001651234746e-01;8.450089991319575944e-03;4.999190589820397435e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.320000000000000284e+00;4.265300427933360616e+00;4.535174049607540447e-01;1.187855003709232804e-01;8.100082061971103364e-03;4.998841838146113048e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.410000000000000142e+00;4.354660947914542390e+00;4.642270763901096831e-01;1.194989149362783998e-01;7.749691592616181346e-03;4.998362360732644838e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.500000000000000000e+00;4.444013979152748206e+00;4.749990532003313670e-01;1.201804448575942708e-01;7.395570315514743420e-03;4.997705462111382779e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.589999999999999858e+00;4.533359829292338716e+00;4.858304301314516627e-01;1.208301175930710514e-01;7.045907504222848061e-03;4.996813779022654778e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.679999999999999716e+00;4.622698961734974077e+00;4.967170782493753323e-01;1.214487082083541836e-01;6.696966840318063774e-03;4.995624323500666542e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.769999999999999574e+00;4.712031534691776713e+00;5.076574241542080035e-01;1.220355716243282096e-01;6.344382337423293272e-03;4.994044009200296230e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.859999999999999432e+00;4.801357856672961333e+00;5.186486914501908796e-01;1.225906970290906450e-01;5.996470941888376593e-03;4.991962261076458240e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.950000000000000178e+00;4.890678392395589213e+00;5.296868832791900017e-01;1.231149363938679464e-01;5.649574698453840860e-03;4.989265690797717312e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.040000000000000036e+00;4.979993322661917077e+00;5.407703422246789016e-01;1.236076204748122187e-01;5.299536649636338304e-03;4.985786146235708038e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.129999999999999893e+00;5.069302983907578941e+00;5.518961787585772161e-01;1.240688529908027249e-01;4.954799184630043207e-03;4.981337748928210907e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.219999999999999751e+00;5.158607821370198465e+00;5.630606698137085031e-01;1.244994843280453622e-01;4.610451825102113155e-03;4.975739297931151661e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.309999999999999609e+00;5.247908027216423577e+00;5.742621485116393698e-01;1.248987343193208588e-01;4.263927439135506425e-03;4.968715822139890825e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.399999999999999467e+00;5.337203981583546586e+00;5.854974689031113844e-01;1.252669912670900665e-01;3.923789241369712855e-03;4.960002145444495802e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.490000000000000213e+00;5.426496095017808052e+00;5.967632752425426901e-01;1.256050163827673316e-01;3.582408338215437027e-03;4.949343119642641398e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.580000000000000071e+00;5.515784567368354985e+00;6.080579040835897286e-01;1.259118247679689162e-01;3.240317237519829696e-03;4.936332830342292866e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.669999999999999929e+00;5.605069823568102905e+00;6.193779289581456959e-01;1.261882734855213073e-01;2.906192694670517440e-03;4.920669248374077931e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.759999999999999787e+00;5.694352231631722105e+00;6.307203964167716892e-01;1.264349394530093207e-01;2.568113728616649993e-03;4.902039397778893637e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.849999999999999645e+00;5.783632004509002833e+00;6.420835880504637272e-01;1.266505339566719179e-01;2.231323475410884605e-03;4.879905725496515245e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.939999999999999503e+00;5.872909595280321859e+00;6.534639113441798042e-01;1.268365776785835841e-01;1.902921909561094971e-03;4.854043550695912757e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
6.029999999999999361e+00;5.962185314894069776e+00;6.648589045864686797e-01;1.269930599003932237e-01;1.570084588031428474e-03;4.824079126559619901e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
6.120000000000000107e+00;6.051459452311369169e+00;6.762662871693296829e-01;1.271191929044288571e-01;1.241086999255291978e-03;4.789520548041422465e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
6.209999999999999964e+00;6.140732404680098178e+00;6.876829402850915818e-01;1.272164555602590674e-01;9.168891481585728087e-04;4.750264353616133306e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
6.299999999999999822e+00;6.230004469835226821e+00;6.991065290430641399e-01;1.272842329510974757e-01;5.906741527103021028e-04;4.705927746282338120e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
6.389999999999999680e+00;6.319275989942078731e+00;7.105343764732322542e-01;1.273227769077469596e-01;2.714114831430247676e-04;4.656325024444448957e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
6.479999999999999538e+00;6.408547296870031218e+00;7.219638891198568720e-01;1.273330870180635621e-01;-4.905624455309176568e-05;4.601493964131304182e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
6.569999999999999396e+00;6.497818719869461468e+00;7.333924951233614653e-01;1.273139467837274275e-01;-3.679363553876768833e-04;4.541147734297333649e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
6.660000000000000142e+00;6.587090579425852965e+00;7.448176904816824484e-01;1.272668584740936915e-01;-6.791921793508626237e-04;4.475612141001955813e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
6.750000000000000000e+00;6.676363194350233954e+00;7.562369820466445791e-01;1.271916921914444387e-01;-9.928489587611721845e-04;4.405023038047718664e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
6.839999999999999858e+00;6.765636909743914629e+00;7.676476669587215529e-01;1.270881456615167160e-01;-1.300743909850798907e-03;4.329636258690749528e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
6.929999999999999716e+00;6.854911987920153216e+00;7.790476846138989497e-01;1.269575582876711906e-01;-1.607334680914229708e-03;4.250091874923307422e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
7.019999999999999574e+00;6.944188817885429188e+00;7.904339751251034940e-01;1.267988254189518216e-01;-1.912606216833534489e-03;4.166726038837543555e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
7.109999999999999432e+00;7.033467640622828476e+00;8.018046294459787449e-01;1.266132891686408968e-01;-2.210885373236326501e-03;4.080165013227039061e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
7.199999999999999289e+00;7.122748777828954658e+00;8.131570963217817916e-01;1.264008660517692562e-01;-2.510287771559926995e-03;3.990724502405750496e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
7.290000000000000036e+00;7.212032571740303766e+00;8.244886494135582611e-01;1.261614373697601543e-01;-2.746539509811629642e-03;3.898760561386469981e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
7.379999999999999893e+00;7.301319201852495056e+00;8.357978329013758811e-01;1.259064889400032250e-01;-8.781025705472123022e-04;3.805028793986813263e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
7.469999999999999751e+00;7.390608852767901027e+00;8.470831425747352705e-01;1.260033789070615917e-01;7.687077368802031074e-03;3.710629351232607842e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
7.559999999999999609e+00;7.479892233567937865e+00;8.584178665992002744e-01;1.272901628663878348e-01;2.546825656546081174e-02;3.616957135948427382e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
7.649999999999999467e+00;7.569145345114275614e+00;8.699881540096848775e-01;1.305876650888446733e-01;4.877924506725361820e-02;3.525171479296941079e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
7.739999999999999325e+00;7.658341724720798105e+00;8.819871538685263301e-01;1.360704269784935860e-01;7.319060265312460345e-02;3.435928823898173334e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
7.830000000000000071e+00;7.747452572384119662e+00;8.946049327595813061e-01;1.437619735664070753e-01;9.833246553024166392e-02;3.349558249840819624e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
7.919999999999999929e+00;7.836439938096435576e+00;9.080645051938995849e-01;1.537702707739367902e-01;1.238798897726890447e-01;3.266449681607856093e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
8.009999999999999787e+00;7.925269615830973002e+00;9.225271317803293014e-01;1.660603537254909945e-01;1.504135300055651214e-01;3.186879715885351683e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
8.099999999999999645e+00;8.013881825092273203e+00;9.382658508120986784e-01;1.808447061749385298e-01;1.780478498791262520e-01;3.111597598111013774e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
8.189999999999999503e+00;8.102226439223571219e+00;9.554403077878567130e-01;1.981089667037339019e-01;2.063728862277143250e-01;3.040941229723016281e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
8.279999999999999361e+00;8.190229321214070879e+00;9.742868664625268238e-01;2.179918256959272327e-01;2.364154347526581379e-01;2.975411726639396903e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
8.369999999999999218e+00;8.277792940586563120e+00;9.950759124338897088e-01;2.406637449592121669e-01;2.675157038390583164e-01;2.915481804242141095e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
8.459999999999999076e+00;8.364828723346647621e+00;1.017971777923163179e+00;2.661446523869575032e-01;2.997590976544211028e-01;2.861244832293598606e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
8.549999999999998934e+00;8.451196874233467327e+00;1.043268877145137719e+00;2.946203825370079521e-01;3.335736016563768391e-01;2.813106582115441956e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
8.640000000000000568e+00;8.536743684786291197e+00;1.071213561555377725e+00;3.261879006851060581e-01;3.679251897160384921e-01;2.771321226897811574e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
8.730000000000000426e+00;8.621314775465288349e+00;1.101982144110817741e+00;3.608469166858956356e-01;4.026439173883142875e-01;2.735975106752958297e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
8.820000000000000284e+00;8.704697264874244667e+00;1.135839751152556421e+00;3.986638058150022701e-01;4.377761548813681181e-01;2.707250079741702287e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
8.910000000000000142e+00;8.786635161532416305e+00;1.173053627354295525e+00;4.396466245645416215e-01;4.718186412287765918e-01;2.685024759212579770e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
9.000000000000000000e+00;8.866913957039939120e+00;1.213718448263773286e+00;4.835911612361822876e-01;5.029977639069596052e-01;2.668550411218184149e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
9.089999999999999858e+00;8.945267588958786931e+00;1.257979959488330746e+00;5.301862220677939774e-01;5.246876868554113393e-01;2.657145787044341567e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
