# 2025-04-25 01:59:50
# 4b769253f54cd2fd163ac537443b4a50
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
2.392440327497870722e+00;2.349174931274277345e+00;2.442595559285119233e-01;9.598454244872933749e-02;0.000000000000000000e+00;4.999999967212324314e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.425930598467943344e+00;2.382509364982177580e+00;2.474865946674346118e-01;9.650063653368196048e-02;0.000000000000000000e+00;4.999999957986531740e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.459419233857319309e+00;2.415840514240766179e+00;2.507305412367022424e-01;9.701261619578109563e-02;0.000000000000000000e+00;4.999999946339801937e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.492906397409587527e+00;2.449168546883231379e+00;2.539912716700765127e-01;9.752047345109866872e-02;0.000000000000000000e+00;4.999999931681771592e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.526392252656657789e+00;2.482493630742756974e+00;2.572686620013192038e-01;9.802420044165605084e-02;0.000000000000000000e+00;4.999999913288867504e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.559876962920236032e+00;2.515815933652528091e+00;2.605625882641919855e-01;9.852378943557953128e-02;0.000000000000000000e+00;4.999999890276644265e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.593360691313304045e+00;2.549135623445730747e+00;2.638729264924565276e-01;9.901923282725041964e-02;0.000000000000000000e+00;4.999999861566887915e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.626843600741607165e+00;2.582452867955548736e+00;2.671995527198746112e-01;9.951052313744496169e-02;0.000000000000000000e+00;4.999999825848573387e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.660325853905158855e+00;2.615767835015168963e+00;2.705423429802078505e-01;9.999765301346433266e-02;0.000000000000000000e+00;4.999999781531661469e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.693807613299745718e+00;2.649080692457774777e+00;2.739011733072179711e-01;1.004806152292601756e-01;0.000000000000000000e+00;4.999999726692536228e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.727289041218457388e+00;2.682391608116553972e+00;2.772759197346668647e-01;1.009594026855472615e-01;0.000000000000000000e+00;4.999999659009743525e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.760770299753206203e+00;2.715700749824689453e+00;2.806664582963159793e-01;1.014340084099113609e-01;0.000000000000000000e+00;4.999999575688470088e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
